product_id,product_name,product_type,destination_country,destination_city,trip_days,base_price_twd,is_active
P00001,洛杉磯2日訂房,訂房,美國,洛杉磯,2,109000,Y
P00002,羅馬3日機票,機票,義大利,羅馬,3,71000,Y
P00003,東京2日機票,機票,日本,東京,2,106000,Y
P00004,羅馬4日團體旅遊,團體旅遊,義大利,羅馬,4,192000,Y
P00005,花蓮5日機票,機票,台灣,花蓮,5,87000,Y
P00006,峴港8日訂房,訂房,越南,峴港,8,157000,Y
P00007,峴港6日自由行,自由行,越南,峴港,6,51000,Y
P00008,花蓮4日訂房,訂房,台灣,花蓮,4,81000,Y
P00009,羅馬7日團體旅遊,團體旅遊,義大利,羅馬,7,76000,Y
P00010,首爾3日團體旅遊,團體旅遊,韓國,首爾,3,122000,Y
P00011,大阪8日自由行,自由行,日本,大阪,8,148000,Y
P00012,大阪9日訂房,訂房,日本,大阪,9,82000,Y
P00013,首爾1日票券,票券,韓國,首爾,1,133000,Y
P00014,曼谷11日票券,票券,泰國,曼谷,11,109000,Y
P00015,峴港4日訂房,訂房,越南,峴港,4,60000,Y
P00016,東京11日票券,票券,日本,東京,11,79000,Y
P00017,羅馬6日訂房,訂房,義大利,羅馬,6,163000,Y
P00018,巴黎2日團體旅遊,團體旅遊,法國,巴黎,2,136000,Y
P00019,花蓮1日團體旅遊,團體旅遊,台灣,花蓮,1,91000,Y
P00020,東京10日票券,票券,日本,東京,10,58000,Y
P00021,首爾7日團體旅遊,團體旅遊,韓國,首爾,7,183000,Y
P00022,峴港8日自由行,自由行,越南,峴港,8,38000,Y
P00023,伊斯坦堡6日自由行,自由行,土耳其,伊斯坦堡,6,183000,Y
P00024,伊斯坦堡9日票券,票券,土耳其,伊斯坦堡,9,86000,Y
P00025,峴港1日自由行,自由行,越南,峴港,1,157000,Y
P00026,巴黎10日自由行,自由行,法國,巴黎,10,118000,Y
P00027,巴黎6日票券,票券,法國,巴黎,6,126000,Y
P00028,伊斯坦堡3日自由行,自由行,土耳其,伊斯坦堡,3,107000,Y
P00029,首爾5日自由行,自由行,韓國,首爾,5,104000,Y
P00030,澎湖6日自由行,自由行,台灣,澎湖,6,137000,N
P00031,曼谷11日團體旅遊,團體旅遊,泰國,曼谷,11,174000,Y
P00032,洛杉磯11日票券,票券,美國,洛杉磯,11,125000,Y
P00033,巴黎4日訂房,訂房,法國,巴黎,4,131000,Y
P00034,巴黎5日機票,機票,法國,巴黎,5,22000,N
P00035,大阪11日訂房,訂房,日本,大阪,11,190000,Y
P00036,洛杉磯5日機票,機票,美國,洛杉磯,5,71000,Y
P00037,花蓮3日票券,票券,台灣,花蓮,3,112000,Y
P00038,羅馬5日訂房,訂房,義大利,羅馬,5,18000,Y
P00039,首爾7日團體旅遊,團體旅遊,韓國,首爾,7,161000,Y
P00040,首爾2日票券,票券,韓國,首爾,2,74000,Y
P00041,澎湖1日訂房,訂房,台灣,澎湖,1,8000,Y
P00042,峴港7日機票,機票,越南,峴港,7,140000,Y
P00043,伊斯坦堡9日訂房,訂房,土耳其,伊斯坦堡,9,116000,Y
P00044,巴黎6日團體旅遊,團體旅遊,法國,巴黎,6,37000,Y
P00045,花蓮2日票券,票券,台灣,花蓮,2,8000,Y
P00046,大阪6日機票,機票,日本,大阪,6,63000,Y
P00047,峴港8日機票,機票,越南,峴港,8,23000,Y
P00048,羅馬10日自由行,自由行,義大利,羅馬,10,95000,Y
P00049,峴港6日票券,票券,越南,峴港,6,18000,Y
P00050,羅馬7日機票,機票,義大利,羅馬,7,3000,Y
P00051,澎湖3日機票,機票,台灣,澎湖,3,152000,Y
P00052,洛杉磯6日票券,票券,美國,洛杉磯,6,78000,Y
P00053,沖繩10日票券,票券,日本,沖繩,10,77000,Y
P00054,伊斯坦堡6日機票,機票,土耳其,伊斯坦堡,6,138000,Y
P00055,澎湖8日團體旅遊,團體旅遊,台灣,澎湖,8,112000,Y
P00056,大阪2日訂房,訂房,日本,大阪,2,75000,Y
P00057,首爾9日自由行,自由行,韓國,首爾,9,111000,Y
P00058,首爾6日訂房,訂房,韓國,首爾,6,38000,Y
P00059,伊斯坦堡6日機票,機票,土耳其,伊斯坦堡,6,87000,Y
P00060,曼谷9日票券,票券,泰國,曼谷,9,138000,Y
P00061,首爾9日自由行,自由行,韓國,首爾,9,165000,Y
P00062,大阪3日票券,票券,日本,大阪,3,105000,Y
P00063,曼谷2日票券,票券,泰國,曼谷,2,172000,Y
P00064,洛杉磯11日自由行,自由行,美國,洛杉磯,11,24000,Y
P00065,伊斯坦堡3日自由行,自由行,土耳其,伊斯坦堡,3,187000,Y
P00066,首爾6日票券,票券,韓國,首爾,6,174000,Y
P00067,沖繩1日自由行,自由行,日本,沖繩,1,109000,Y
P00068,首爾4日團體旅遊,團體旅遊,韓國,首爾,4,78000,Y
P00069,峴港9日自由行,自由行,越南,峴港,9,188000,Y
P00070,沖繩1日自由行,自由行,日本,沖繩,1,106000,Y
P00071,澎湖4日團體旅遊,團體旅遊,台灣,澎湖,4,48000,Y
P00072,大阪9日票券,票券,日本,大阪,9,18000,Y
P00073,峴港6日團體旅遊,團體旅遊,越南,峴港,6,106000,Y
P00074,首爾3日機票,機票,韓國,首爾,3,144000,Y
P00075,曼谷6日機票,機票,泰國,曼谷,6,20000,Y
P00076,峴港9日自由行,自由行,越南,峴港,9,4000,Y
P00077,洛杉磯9日票券,票券,美國,洛杉磯,9,199000,Y
P00078,大阪1日自由行,自由行,日本,大阪,1,109000,Y
P00079,澎湖2日票券,票券,台灣,澎湖,2,44000,Y
P00080,羅馬9日票券,票券,義大利,羅馬,9,140000,Y
P00081,曼谷3日機票,機票,泰國,曼谷,3,116000,Y
P00082,巴黎7日團體旅遊,團體旅遊,法國,巴黎,7,184000,N
P00083,大阪5日團體旅遊,團體旅遊,日本,大阪,5,142000,Y
P00084,曼谷6日訂房,訂房,泰國,曼谷,6,50000,Y
P00085,曼谷1日機票,機票,泰國,曼谷,1,192000,Y
P00086,曼谷9日機票,機票,泰國,曼谷,9,19000,Y
P00087,羅馬8日團體旅遊,團體旅遊,義大利,羅馬,8,191000,Y
P00088,澎湖3日機票,機票,台灣,澎湖,3,72000,Y
P00089,洛杉磯3日團體旅遊,團體旅遊,美國,洛杉磯,3,82000,Y
P00090,首爾10日自由行,自由行,韓國,首爾,10,154000,Y
P00091,羅馬5日團體旅遊,團體旅遊,義大利,羅馬,5,105000,Y
P00092,沖繩2日訂房,訂房,日本,沖繩,2,170000,Y
P00093,沖繩6日票券,票券,日本,沖繩,6,113000,Y
P00094,曼谷10日自由行,自由行,泰國,曼谷,10,158000,Y
P00095,巴黎6日票券,票券,法國,巴黎,6,192000,Y
P00096,首爾3日票券,票券,韓國,首爾,3,7000,Y
P00097,首爾4日自由行,自由行,韓國,首爾,4,127000,Y
P00098,伊斯坦堡1日票券,票券,土耳其,伊斯坦堡,1,144000,Y
P00099,洛杉磯11日團體旅遊,團體旅遊,美國,洛杉磯,11,140000,Y
P00100,洛杉磯7日團體旅遊,團體旅遊,美國,洛杉磯,7,165000,Y
P00101,花蓮1日自由行,自由行,台灣,花蓮,1,59000,Y
P00102,沖繩11日團體旅遊,團體旅遊,日本,沖繩,11,34000,Y
P00103,峴港6日訂房,訂房,越南,峴港,6,21000,Y
P00104,曼谷11日訂房,訂房,泰國,曼谷,11,3000,N
P00105,東京7日自由行,自由行,日本,東京,7,60000,Y
P00106,大阪7日團體旅遊,團體旅遊,日本,大阪,7,42000,Y
P00107,沖繩5日團體旅遊,團體旅遊,日本,沖繩,5,179000,Y
P00108,沖繩6日團體旅遊,團體旅遊,日本,沖繩,6,101000,Y
P00109,伊斯坦堡8日團體旅遊,團體旅遊,土耳其,伊斯坦堡,8,44000,N
P00110,峴港10日票券,票券,越南,峴港,10,165000,Y
P00111,沖繩1日訂房,訂房,日本,沖繩,1,87000,Y
P00112,首爾11日團體旅遊,團體旅遊,韓國,首爾,11,8000,Y
P00113,首爾2日機票,機票,韓國,首爾,2,152000,Y
P00114,羅馬1日團體旅遊,團體旅遊,義大利,羅馬,1,81000,Y
P00115,大阪1日自由行,自由行,日本,大阪,1,140000,Y
P00116,澎湖8日訂房,訂房,台灣,澎湖,8,80000,Y
P00117,首爾11日自由行,自由行,韓國,首爾,11,150000,Y
P00118,曼谷2日機票,機票,泰國,曼谷,2,124000,Y
P00119,澎湖5日團體旅遊,團體旅遊,台灣,澎湖,5,171000,Y
P00120,曼谷8日自由行,自由行,泰國,曼谷,8,115000,Y
P00121,首爾4日訂房,訂房,韓國,首爾,4,24000,Y
P00122,首爾9日機票,機票,韓國,首爾,9,178000,Y
P00123,羅馬1日自由行,自由行,義大利,羅馬,1,75000,Y
P00124,曼谷5日團體旅遊,團體旅遊,泰國,曼谷,5,38000,Y
P00125,峴港1日團體旅遊,團體旅遊,越南,峴港,1,53000,Y
P00126,羅馬8日訂房,訂房,義大利,羅馬,8,25000,Y
P00127,峴港5日機票,機票,越南,峴港,5,53000,Y
P00128,花蓮2日機票,機票,台灣,花蓮,2,152000,Y
P00129,沖繩9日機票,機票,日本,沖繩,9,152000,Y
P00130,東京9日票券,票券,日本,東京,9,176000,Y
P00131,羅馬3日訂房,訂房,義大利,羅馬,3,192000,Y
P00132,澎湖9日團體旅遊,團體旅遊,台灣,澎湖,9,53000,N
P00133,巴黎11日訂房,訂房,法國,巴黎,11,5000,Y
P00134,花蓮1日機票,機票,台灣,花蓮,1,106000,Y
P00135,沖繩1日票券,票券,日本,沖繩,1,8000,Y
P00136,沖繩5日訂房,訂房,日本,沖繩,5,17000,Y
P00137,澎湖3日自由行,自由行,台灣,澎湖,3,127000,Y
P00138,花蓮5日訂房,訂房,台灣,花蓮,5,69000,Y
P00139,羅馬5日自由行,自由行,義大利,羅馬,5,127000,Y
P00140,伊斯坦堡1日自由行,自由行,土耳其,伊斯坦堡,1,43000,Y
P00141,大阪4日團體旅遊,團體旅遊,日本,大阪,4,73000,Y
P00142,大阪6日訂房,訂房,日本,大阪,6,188000,Y
P00143,曼谷10日訂房,訂房,泰國,曼谷,10,9000,Y
P00144,曼谷10日團體旅遊,團體旅遊,泰國,曼谷,10,120000,Y
P00145,伊斯坦堡3日票券,票券,土耳其,伊斯坦堡,3,82000,Y
P00146,峴港4日機票,機票,越南,峴港,4,22000,Y
P00147,花蓮9日機票,機票,台灣,花蓮,9,173000,Y
P00148,曼谷1日團體旅遊,團體旅遊,泰國,曼谷,1,29000,Y
P00149,羅馬2日票券,票券,義大利,羅馬,2,184000,Y
P00150,澎湖3日自由行,自由行,台灣,澎湖,3,158000,Y
P00151,首爾10日訂房,訂房,韓國,首爾,10,71000,Y
P00152,伊斯坦堡2日機票,機票,土耳其,伊斯坦堡,2,41000,Y
P00153,花蓮2日訂房,訂房,台灣,花蓮,2,84000,Y
P00154,巴黎5日團體旅遊,團體旅遊,法國,巴黎,5,102000,Y
P00155,澎湖3日票券,票券,台灣,澎湖,3,48000,Y
P00156,曼谷9日訂房,訂房,泰國,曼谷,9,176000,Y
P00157,東京2日自由行,自由行,日本,東京,2,72000,Y
P00158,巴黎1日團體旅遊,團體旅遊,法國,巴黎,1,38000,Y
P00159,伊斯坦堡11日訂房,訂房,土耳其,伊斯坦堡,11,43000,Y
P00160,伊斯坦堡7日機票,機票,土耳其,伊斯坦堡,7,14000,Y
P00161,洛杉磯2日訂房,訂房,美國,洛杉磯,2,181000,Y
P00162,巴黎1日訂房,訂房,法國,巴黎,1,7000,N
P00163,伊斯坦堡5日自由行,自由行,土耳其,伊斯坦堡,5,92000,Y
P00164,伊斯坦堡10日票券,票券,土耳其,伊斯坦堡,10,36000,Y
P00165,澎湖9日團體旅遊,團體旅遊,台灣,澎湖,9,68000,Y
P00166,東京9日票券,票券,日本,東京,9,186000,Y
P00167,洛杉磯5日團體旅遊,團體旅遊,美國,洛杉磯,5,140000,Y
P00168,洛杉磯8日票券,票券,美國,洛杉磯,8,138000,Y
P00169,東京4日訂房,訂房,日本,東京,4,39000,Y
P00170,大阪7日團體旅遊,團體旅遊,日本,大阪,7,63000,Y
P00171,洛杉磯3日訂房,訂房,美國,洛杉磯,3,75000,Y
P00172,巴黎6日團體旅遊,團體旅遊,法國,巴黎,6,138000,Y
P00173,首爾8日訂房,訂房,韓國,首爾,8,8000,Y
P00174,沖繩9日訂房,訂房,日本,沖繩,9,20000,N
P00175,曼谷2日團體旅遊,團體旅遊,泰國,曼谷,2,16000,Y
P00176,澎湖2日訂房,訂房,台灣,澎湖,2,145000,Y
P00177,洛杉磯8日機票,機票,美國,洛杉磯,8,21000,Y
P00178,曼谷5日訂房,訂房,泰國,曼谷,5,34000,Y
P00179,首爾8日機票,機票,韓國,首爾,8,134000,Y
P00180,峴港9日票券,票券,越南,峴港,9,104000,Y
P00181,曼谷3日自由行,自由行,泰國,曼谷,3,16000,Y
P00182,巴黎8日票券,票券,法國,巴黎,8,7000,Y
P00183,首爾4日機票,機票,韓國,首爾,4,143000,Y
P00184,羅馬11日票券,票券,義大利,羅馬,11,152000,Y
P00185,沖繩11日訂房,訂房,日本,沖繩,11,188000,Y
P00186,沖繩11日團體旅遊,團體旅遊,日本,沖繩,11,129000,N
P00187,伊斯坦堡6日票券,票券,土耳其,伊斯坦堡,6,25000,Y
P00188,峴港11日團體旅遊,團體旅遊,越南,峴港,11,55000,Y
P00189,花蓮3日票券,票券,台灣,花蓮,3,98000,Y
P00190,首爾1日訂房,訂房,韓國,首爾,1,180000,Y
P00191,羅馬9日團體旅遊,團體旅遊,義大利,羅馬,9,123000,Y
P00192,峴港4日團體旅遊,團體旅遊,越南,峴港,4,198000,Y
P00193,首爾8日訂房,訂房,韓國,首爾,8,155000,N
P00194,沖繩4日團體旅遊,團體旅遊,日本,沖繩,4,72000,Y
P00195,大阪9日自由行,自由行,日本,大阪,9,61000,Y
P00196,峴港2日訂房,訂房,越南,峴港,2,50000,Y
P00197,伊斯坦堡5日團體旅遊,團體旅遊,土耳其,伊斯坦堡,5,70000,Y
P00198,澎湖10日訂房,訂房,台灣,澎湖,10,24000,Y
P00199,峴港8日票券,票券,越南,峴港,8,6000,Y
P00200,曼谷5日機票,機票,泰國,曼谷,5,134000,Y
P00201,花蓮11日訂房,訂房,台灣,花蓮,11,116000,Y
P00202,峴港11日機票,機票,越南,峴港,11,113000,Y
P00203,峴港6日團體旅遊,團體旅遊,越南,峴港,6,120000,Y
P00204,東京9日自由行,自由行,日本,東京,9,158000,Y
P00205,花蓮6日自由行,自由行,台灣,花蓮,6,10000,Y
P00206,沖繩8日票券,票券,日本,沖繩,8,166000,Y
P00207,大阪4日票券,票券,日本,大阪,4,73000,Y
P00208,羅馬8日團體旅遊,團體旅遊,義大利,羅馬,8,166000,Y
P00209,巴黎3日自由行,自由行,法國,巴黎,3,92000,Y
P00210,伊斯坦堡4日票券,票券,土耳其,伊斯坦堡,4,152000,Y
P00211,巴黎7日訂房,訂房,法國,巴黎,7,93000,Y
P00212,花蓮11日票券,票券,台灣,花蓮,11,27000,Y
P00213,澎湖6日訂房,訂房,台灣,澎湖,6,104000,Y
P00214,洛杉磯6日團體旅遊,團體旅遊,美國,洛杉磯,6,127000,N
P00215,峴港5日機票,機票,越南,峴港,5,41000,Y
P00216,花蓮5日票券,票券,台灣,花蓮,5,11000,Y
P00217,大阪1日票券,票券,日本,大阪,1,176000,Y
P00218,巴黎3日團體旅遊,團體旅遊,法國,巴黎,3,32000,Y
P00219,巴黎7日機票,機票,法國,巴黎,7,98000,Y
P00220,大阪10日機票,機票,日本,大阪,10,34000,N
P00221,巴黎11日自由行,自由行,法國,巴黎,11,114000,Y
P00222,澎湖11日自由行,自由行,台灣,澎湖,11,38000,Y
P00223,大阪6日訂房,訂房,日本,大阪,6,191000,Y
P00224,羅馬4日訂房,訂房,義大利,羅馬,4,103000,Y
P00225,巴黎11日機票,機票,法國,巴黎,11,43000,Y
P00226,羅馬3日團體旅遊,團體旅遊,義大利,羅馬,3,103000,Y
P00227,沖繩10日團體旅遊,團體旅遊,日本,沖繩,10,137000,Y
P00228,沖繩2日機票,機票,日本,沖繩,2,118000,Y
P00229,大阪6日自由行,自由行,日本,大阪,6,165000,Y
P00230,沖繩2日團體旅遊,團體旅遊,日本,沖繩,2,174000,Y
P00231,首爾10日機票,機票,韓國,首爾,10,155000,Y
P00232,羅馬2日團體旅遊,團體旅遊,義大利,羅馬,2,187000,Y
P00233,洛杉磯10日票券,票券,美國,洛杉磯,10,90000,Y
P00234,大阪2日機票,機票,日本,大阪,2,9000,Y
P00235,羅馬5日團體旅遊,團體旅遊,義大利,羅馬,5,62000,Y
P00236,巴黎4日票券,票券,法國,巴黎,4,149000,Y
P00237,澎湖5日票券,票券,台灣,澎湖,5,170000,Y
P00238,羅馬11日團體旅遊,團體旅遊,義大利,羅馬,11,96000,Y
P00239,曼谷7日自由行,自由行,泰國,曼谷,7,144000,Y
P00240,羅馬7日票券,票券,義大利,羅馬,7,88000,Y
P00241,澎湖5日自由行,自由行,台灣,澎湖,5,168000,Y
P00242,大阪7日訂房,訂房,日本,大阪,7,26000,Y
P00243,澎湖3日機票,機票,台灣,澎湖,3,153000,Y
P00244,曼谷9日訂房,訂房,泰國,曼谷,9,49000,Y
P00245,巴黎10日機票,機票,法國,巴黎,10,119000,Y
P00246,伊斯坦堡5日訂房,訂房,土耳其,伊斯坦堡,5,137000,Y
P00247,花蓮9日訂房,訂房,台灣,花蓮,9,153000,Y
P00248,羅馬3日訂房,訂房,義大利,羅馬,3,21000,Y
P00249,曼谷3日票券,票券,泰國,曼谷,3,76000,Y
P00250,巴黎4日機票,機票,法國,巴黎,4,78000,Y
P00251,羅馬5日自由行,自由行,義大利,羅馬,5,107000,Y
P00252,曼谷2日機票,機票,泰國,曼谷,2,57000,Y
P00253,羅馬11日自由行,自由行,義大利,羅馬,11,197000,Y
P00254,花蓮5日自由行,自由行,台灣,花蓮,5,3000,Y
P00255,峴港1日票券,票券,越南,峴港,1,187000,Y
P00256,花蓮1日自由行,自由行,台灣,花蓮,1,186000,Y
P00257,花蓮10日自由行,自由行,台灣,花蓮,10,35000,Y
P00258,巴黎2日自由行,自由行,法國,巴黎,2,135000,Y
P00259,花蓮10日訂房,訂房,台灣,花蓮,10,130000,Y
P00260,東京11日訂房,訂房,日本,東京,11,127000,Y
P00261,大阪10日訂房,訂房,日本,大阪,10,5000,Y
P00262,伊斯坦堡1日票券,票券,土耳其,伊斯坦堡,1,197000,Y
P00263,洛杉磯10日機票,機票,美國,洛杉磯,10,99000,Y
P00264,花蓮5日自由行,自由行,台灣,花蓮,5,10000,Y
P00265,大阪6日機票,機票,日本,大阪,6,161000,Y
P00266,羅馬3日票券,票券,義大利,羅馬,3,16000,Y
P00267,曼谷5日票券,票券,泰國,曼谷,5,190000,Y
P00268,洛杉磯2日團體旅遊,團體旅遊,美國,洛杉磯,2,57000,Y
P00269,洛杉磯11日團體旅遊,團體旅遊,美國,洛杉磯,11,62000,Y
P00270,花蓮1日團體旅遊,團體旅遊,台灣,花蓮,1,23000,Y
P00271,東京1日團體旅遊,團體旅遊,日本,東京,1,23000,Y
P00272,羅馬8日機票,機票,義大利,羅馬,8,118000,Y
P00273,羅馬10日自由行,自由行,義大利,羅馬,10,86000,Y
P00274,伊斯坦堡5日自由行,自由行,土耳其,伊斯坦堡,5,96000,Y
P00275,洛杉磯5日團體旅遊,團體旅遊,美國,洛杉磯,5,87000,Y
P00276,洛杉磯4日票券,票券,美國,洛杉磯,4,166000,Y
P00277,沖繩3日訂房,訂房,日本,沖繩,3,127000,Y
P00278,伊斯坦堡2日團體旅遊,團體旅遊,土耳其,伊斯坦堡,2,168000,N
P00279,沖繩3日訂房,訂房,日本,沖繩,3,95000,Y
P00280,東京1日訂房,訂房,日本,東京,1,135000,Y
P00281,巴黎10日自由行,自由行,法國,巴黎,10,185000,Y
P00282,巴黎6日機票,機票,法國,巴黎,6,198000,Y
P00283,羅馬5日團體旅遊,團體旅遊,義大利,羅馬,5,25000,Y
P00284,澎湖2日自由行,自由行,台灣,澎湖,2,140000,Y
P00285,首爾5日機票,機票,韓國,首爾,5,101000,Y
P00286,伊斯坦堡2日訂房,訂房,土耳其,伊斯坦堡,2,163000,Y
P00287,洛杉磯2日自由行,自由行,美國,洛杉磯,2,126000,Y
